# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Feb 14 21:31:11 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_rade < 1)
# CONSTRAINT:  order by pl_rade asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_rade,sy_dist
630,HD 14787 b,HD 14787,1,1,Radial Velocity,2018,W. M. Keck Observatory,0,13.700,119.1370000
631,HD 147873 b,HD 147873,2,2,Radial Velocity,2016,Multiple Observatories,0,12.800,109.0550000
632,HD 147873 c,HD 147873,2,2,Radial Velocity,2016,Multiple Observatories,0,13.300,109.0550000
633,HD 148156 b,HD 148156,1,1,Radial Velocity,2009,La Silla Observatory,0,13.900,57.1289000
634,HD 148164 b,HD 148164,1,2,Radial Velocity,2018,W. M. Keck Observatory,0,13.700,77.1971000
635,HD 148164 c,HD 148164,1,2,Radial Velocity,2018,W. M. Keck Observatory,0,12.800,77.1971000
636,HD 148427 b,HD 148427,1,1,Radial Velocity,2009,Lick Observatory,0,13.600,71.3499000
637,HD 149026 b,HD 149026,1,1,Radial Velocity,2005,Subaru Telescope,0,8.295,75.8643000
638,HD 149143 b,HD 149143,1,1,Radial Velocity,2005,Haute-Provence Observatory,0,13.600,73.2801000
639,HD 149806 b,HD 149806,1,1,Radial Velocity,2022,Multiple Observatories,0,12.400,20.2727000
640,HD 150010 b,HD 150010,1,1,Radial Velocity,2022,Bohyunsan Optical Astronomical Observatory,0,13.300,144.4900000
641,HD 1502 b,HD 1502,1,1,Radial Velocity,2011,W. M. Keck Observatory,0,13.200,190.9530000
642,HD 150706 b,HD 150706,1,1,Radial Velocity,2012,Haute-Provence Observatory,0,13.200,28.2697000
643,HD 151450 b,HD 151450,1,2,Radial Velocity,2022,Multiple Observatories,0,6.810,43.6002000
644,HD 151450 c,HD 151450,1,2,Radial Velocity,2022,Multiple Observatories,0,12.800,43.6002000
645,HD 152079 b,HD 152079,1,1,Radial Velocity,2009,Las Campanas Observatory,0,13.200,87.8888000
646,HD 152581 b,HD 152581,1,1,Radial Velocity,2011,W. M. Keck Observatory,0,13.400,165.7600000
647,HD 152843 b,HD 152843,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,3.410,107.8980000
648,HD 152843 c,HD 152843,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,5.830,107.8980000
649,HD 15337 b,HD 15337,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,1.640,44.8155000
650,HD 15337 c,HD 15337,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,2.390,44.8155000
651,HD 153557 b,HD 153557,1,3,Radial Velocity,2022,Multiple Observatories,0,4.730,17.9412000
652,HD 153557 c,HD 153557,1,3,Radial Velocity,2022,Multiple Observatories,0,4.330,17.9412000
653,HD 153557 d,HD 153557,1,3,Radial Velocity,2022,Multiple Observatories,0,11.900,17.9412000
654,HD 153950 b,HD 153950,1,1,Radial Velocity,2008,La Silla Observatory,0,13.200,48.4549000
655,HD 154088 b,HD 154088,1,1,Radial Velocity,2021,La Silla Observatory,0,2.460,18.2692000
656,HD 154345 b,HD 154345,1,1,Radial Velocity,2006,W. M. Keck Observatory,0,13.900,18.2840000
657,HD 154672 b,HD 154672,1,1,Radial Velocity,2008,Las Campanas Observatory,0,12.800,63.0484000
658,HD 154857 b,HD 154857,1,2,Radial Velocity,2004,Anglo-Australian Telescope,0,13.300,63.4482000
659,HD 154857 c,HD 154857,1,2,Radial Velocity,2014,Anglo-Australian Telescope,0,13.200,63.4482000
660,HD 155193 b,HD 155193,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,14.000,57.7995000
661,HD 155233 b,HD 155233,2,1,Radial Velocity,2015,Anglo-Australian Telescope,0,13.200,74.2309000
662,HD 155358 b,HD 155358,1,2,Radial Velocity,2007,McDonald Observatory,0,13.800,43.6197000
663,HD 155358 c,HD 155358,1,2,Radial Velocity,2007,McDonald Observatory,0,13.900,43.6197000
664,HD 155918 b,HD 155918,1,2,Radial Velocity,2022,Multiple Observatories,0,2.650,27.5610000
665,HD 155918 c,HD 155918,1,2,Radial Velocity,2022,Multiple Observatories,0,12.800,27.5610000
666,HD 156098 b,HD 156098,1,2,Radial Velocity,2022,Multiple Observatories,0,4.310,48.2490000
667,HD 156098 c,HD 156098,1,2,Radial Velocity,2022,Multiple Observatories,0,12.800,48.2490000
668,HD 156279 b,HD 156279,1,2,Radial Velocity,2011,Haute-Provence Observatory,0,12.500,36.1945000
669,HD 156279 c,HD 156279,1,2,Radial Velocity,2018,W. M. Keck Observatory,0,12.500,36.1945000
670,HD 156411 b,HD 156411,1,1,Radial Velocity,2009,La Silla Observatory,0,14.000,56.8655000
671,HD 156668 b,HD 156668,1,2,Radial Velocity,2010,W. M. Keck Observatory,0,1.870,24.3323000
672,HD 156668 c,HD 156668,1,2,Radial Velocity,2021,Multiple Observatories,0,6.170,24.3323000
673,HD 156846 b,HD 156846,2,1,Radial Velocity,2007,La Silla Observatory,0,12.400,47.7332000
674,HD 158038 b,HD 158038,1,1,Radial Velocity,2011,W. M. Keck Observatory,0,13.500,94.8625000
675,HD 158259 b,HD 158259,1,5,Radial Velocity,2020,Haute-Provence Observatory,0,1.292,27.0498000
676,HD 158259 c,HD 158259,1,5,Radial Velocity,2020,Haute-Provence Observatory,0,2.230,27.0498000
677,HD 158259 d,HD 158259,1,5,Radial Velocity,2020,Haute-Provence Observatory,0,2.180,27.0498000
678,HD 158259 e,HD 158259,1,5,Radial Velocity,2020,Haute-Provence Observatory,0,2.340,27.0498000
679,HD 158259 f,HD 158259,1,5,Radial Velocity,2020,Haute-Provence Observatory,0,2.350,27.0498000
680,HD 158996 b,HD 158996,1,1,Radial Velocity,2018,Bohyunsan Optical Astronomical Observatory,0,12.300,283.6590000
681,HD 159243 b,HD 159243,1,2,Radial Velocity,2013,Haute-Provence Observatory,0,13.700,73.3055000
682,HD 159243 c,HD 159243,1,2,Radial Velocity,2013,Haute-Provence Observatory,0,13.400,73.3055000
683,HD 159868 b,HD 159868,1,2,Radial Velocity,2006,Anglo-Australian Telescope,0,13.300,55.8503000
684,HD 159868 c,HD 159868,1,2,Radial Velocity,2012,Anglo-Australian Telescope,0,14.000,55.8503000
685,HD 1605 b,HD 1605,1,2,Radial Velocity,2015,Multiple Observatories,0,13.800,88.8047000
686,HD 1605 c,HD 1605,1,2,Radial Velocity,2015,Multiple Observatories,0,13.000,88.8047000
687,HD 160691 b,HD 160691,1,4,Radial Velocity,2000,Anglo-Australian Telescope,0,,15.5981000
688,HD 160691 c,HD 160691,1,4,Radial Velocity,2004,Anglo-Australian Telescope,0,,15.5981000
689,HD 160691 d,HD 160691,1,4,Radial Velocity,2004,La Silla Observatory,0,3.170,15.5981000
690,HD 160691 e,HD 160691,1,4,Radial Velocity,2006,La Silla Observatory,0,,15.5981000
691,HD 161178 b,HD 161178,1,1,Radial Velocity,2021,Okayama Astrophysical Observatory,0,14.100,107.1880000
692,HD 16141 b,HD 16141,2,1,Radial Velocity,2000,W. M. Keck Observatory,0,10.900,37.7861000
693,HD 16175 b,HD 16175,1,1,Radial Velocity,2009,Lick Observatory,0,12.800,59.8590000
694,HD 162020 b,HD 162020,1,1,Radial Velocity,2002,La Silla Observatory,0,12.500,30.8248000
695,HD 163607 b,HD 163607,1,2,Radial Velocity,2010,W. M. Keck Observatory,0,13.900,67.7855000
696,HD 163607 c,HD 163607,1,2,Radial Velocity,2010,W. M. Keck Observatory,0,13.300,67.7855000
697,HD 16417 b,HD 16417,2,1,Radial Velocity,2008,Anglo-Australian Telescope,0,5.000,25.3936000
698,HD 164509 b,HD 164509,2,1,Radial Velocity,2010,W. M. Keck Observatory,0,14.300,53.1119000
699,HD 164595 b,HD 164595,2,1,Radial Velocity,2015,Haute-Provence Observatory,0,4.160,28.2540000
700,HD 164604 b,HD 164604,1,1,Radial Velocity,2009,Las Campanas Observatory,0,13.400,39.3633000
701,HD 164922 b,HD 164922,1,4,Radial Velocity,2005,W. M. Keck Observatory,0,13.300,22.0016000
702,HD 164922 c,HD 164922,1,4,Radial Velocity,2016,Multiple Observatories,0,3.660,22.0016000
703,HD 164922 d,HD 164922,1,4,Radial Velocity,2020,Roque de los Muchachos Observatory,0,1.830,22.0016000
704,HD 164922 e,HD 164922,1,4,Radial Velocity,2021,Multiple Observatories,0,3.230,22.0016000
705,HD 165155 b,HD 165155,1,1,Radial Velocity,2016,Multiple Observatories,0,13.200,63.3574000
706,HD 1666 b,HD 1666,1,1,Radial Velocity,2015,Multiple Observatories,0,12.700,117.9080000
707,HD 166724 b,HD 166724,1,1,Radial Velocity,2012,La Silla Observatory,0,13.100,45.1342000
708,HD 167042 b,HD 167042,1,1,Radial Velocity,2007,Lick Observatory,0,13.500,49.6633000
709,HD 167768 b,HD 167768,1,1,Radial Velocity,2022,Okayama Astrophysical Observatory,0,13.900,107.2140000
710,HD 168009 b,HD 168009,1,1,Radial Velocity,2021,Multiple Observatories,0,3.050,23.3032000
711,HD 168443 b,HD 168443,1,2,Radial Velocity,1998,W. M. Keck Observatory,0,12.600,39.6245000
712,HD 168443 c,HD 168443,1,2,Radial Velocity,2000,W. M. Keck Observatory,0,12.200,39.6245000
713,HD 168746 b,HD 168746,1,1,Radial Velocity,2002,La Silla Observatory,0,11.100,41.5681000
714,HD 168863 b,HD 168863,1,1,Radial Velocity,2022,Multiple Observatories,0,12.700,39.8979000
715,HD 1690 b,HD 1690,1,1,Radial Velocity,2010,La Silla Observatory,0,12.500,752.6150000
716,HD 16905 b,HD 16905,1,1,Radial Velocity,2022,Multiple Observatories,0,12.500,39.7401000
717,HD 169830 b,HD 169830,1,2,Radial Velocity,2000,La Silla Observatory,0,13.200,37.6048000
718,HD 169830 c,HD 169830,1,2,Radial Velocity,2003,La Silla Observatory,0,12.700,37.6048000
719,HD 170469 b,HD 170469,2,1,Radial Velocity,2007,W. M. Keck Observatory,0,14.100,60.1780000
720,HD 17092 b,HD 17092,1,1,Radial Velocity,2007,McDonald Observatory,0,12.500,228.4220000
721,HD 171028 b,HD 171028,1,1,Radial Velocity,2007,La Silla Observatory,0,13.200,111.6590000
722,HD 171238 b,HD 171238,1,1,Radial Velocity,2009,La Silla Observatory,0,12.500,44.8113000
723,HD 17156 b,HD 17156,1,1,Radial Velocity,2007,Subaru Telescope,0,12.330,78.0863000
724,HD 173416 b,HD 173416,1,1,Radial Velocity,2008,Xinglong Station,0,13.200,132.1840000
725,HD 174205 b,HD 174205,1,1,Radial Velocity,2022,Bohyunsan Optical Astronomical Observatory,0,13.000,234.0270000
726,HD 175167 b,HD 175167,1,1,Radial Velocity,2009,Las Campanas Observatory,0,12.700,71.0863000
727,HD 175541 b,HD 175541,1,1,Radial Velocity,2007,W. M. Keck Observatory,0,14.100,129.6030000
728,HD 175607 b,HD 175607,1,1,Radial Velocity,2015,La Silla Observatory,0,2.940,40.3303000
729,HD 17674 b,HD 17674,1,1,Radial Velocity,2017,Haute-Provence Observatory,0,13.900,44.4264000
730,HD 176986 b,HD 176986,1,2,Radial Velocity,2017,Multiple Observatories,0,2.260,27.7843000
731,HD 176986 c,HD 176986,1,2,Radial Velocity,2017,Multiple Observatories,0,2.980,27.7843000
732,HD 177565 b,HD 177565,1,1,Radial Velocity,2017,La Silla Observatory,0,4.000,16.9179000
733,HD 177830 b,HD 177830,2,2,Radial Velocity,1999,W. M. Keck Observatory,0,13.500,62.7674000
734,HD 177830 c,HD 177830,2,2,Radial Velocity,2010,W. M. Keck Observatory,0,7.870,62.7674000
735,HD 178911 B b,HD 178911 B,3,1,Radial Velocity,2001,W. M. Keck Observatory,0,12.600,40.9727000
736,HD 179079 b,HD 179079,1,1,Radial Velocity,2008,W. M. Keck Observatory,0,5.480,69.7116000
737,HD 179949 b,HD 179949,1,1,Radial Velocity,2000,Anglo-Australian Telescope,0,13.900,27.4573000
738,HD 180053 b,HD 180053,1,1,Radial Velocity,2018,W. M. Keck Observatory,0,13.300,137.0430000
739,HD 18015 b,HD 18015,1,1,Radial Velocity,2018,W. M. Keck Observatory,0,13.100,123.8010000
740,HD 180314 b,HD 180314,1,1,Radial Velocity,2010,Subaru Telescope,0,12.100,122.3620000
741,HD 180617 b,HD 180617,2,1,Radial Velocity,2018,Calar Alto Observatory,0,3.530,5.9105900
742,HD 180902 b,HD 180902,2,1,Radial Velocity,2009,W. M. Keck Observatory,0,13.500,104.5770000
743,HD 181234 b,HD 181234,1,1,Radial Velocity,2019,La Silla Observatory,0,12.500,47.7458000
744,HD 181342 b,HD 181342,1,1,Radial Velocity,2009,W. M. Keck Observatory,0,13.200,120.3910000
745,HD 18143 b,HD 18143,1,2,Radial Velocity,2022,Multiple Observatories,0,3.230,22.5243000
746,HD 18143 c,HD 18143,1,2,Radial Velocity,2022,Multiple Observatories,0,12.500,22.5243000
747,HD 181433 b,HD 181433,1,3,Radial Velocity,2008,La Silla Observatory,0,2.400,26.8762000
748,HD 181433 c,HD 181433,1,3,Radial Velocity,2008,La Silla Observatory,0,14.100,26.8762000
749,HD 181433 d,HD 181433,1,3,Radial Velocity,2008,La Silla Observatory,0,14.200,26.8762000
750,HD 181720 b,HD 181720,1,1,Radial Velocity,2009,La Silla Observatory,0,14.000,60.2046000
751,HD 183263 b,HD 183263,1,2,Radial Velocity,2004,W. M. Keck Observatory,0,13.100,54.1955000
752,HD 183263 c,HD 183263,1,2,Radial Velocity,2008,W. M. Keck Observatory,0,12.500,54.1955000
753,HD 183579 b,HD 183579,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,3.550,57.2651000
754,HD 184010 b,HD 184010,1,3,Radial Velocity,2022,Okayama Astrophysical Observatory,0,12.100,60.7993000
755,HD 184010 c,HD 184010,1,3,Radial Velocity,2022,Okayama Astrophysical Observatory,0,11.800,60.7993000
756,HD 184010 d,HD 184010,1,3,Radial Velocity,2022,Okayama Astrophysical Observatory,0,14.300,60.7993000
757,HD 185269 b,HD 185269,3,1,Radial Velocity,2006,Lick Observatory,0,13.800,51.9917000
758,HD 18599 b,HD 18599,2,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,2.600,38.5653000
759,HD 187085 b,HD 187085,1,1,Radial Velocity,2006,Anglo-Australian Telescope,0,13.900,45.8993000
760,HD 187123 b,HD 187123,1,2,Radial Velocity,1998,W. M. Keck Observatory,0,14.200,45.9548000
761,HD 187123 c,HD 187123,1,2,Radial Velocity,2008,W. M. Keck Observatory,0,13.400,45.9548000
762,HD 18742 b,HD 18742,1,1,Radial Velocity,2011,W. M. Keck Observatory,0,13.100,162.6850000
763,HD 188015 b,HD 188015,2,1,Radial Velocity,2004,W. M. Keck Observatory,0,13.600,50.6706000
764,HD 188641 b,HD 188641,1,1,Radial Velocity,2022,Multiple Observatories,0,11.900,64.3399000
765,HD 189567 b,HD 189567,1,2,Radial Velocity,2021,La Silla Observatory,0,2.850,17.9055000
766,HD 189567 c,HD 189567,1,2,Radial Velocity,2021,La Silla Observatory,0,2.540,17.9055000
767,HD 189733 b,HD 189733,2,1,Radial Velocity,2005,Haute-Provence Observatory,0,12.666,19.7638000
768,HD 190007 b,HD 190007,1,1,Radial Velocity,2020,Multiple Observatories,0,4.210,12.7141000
769,HD 190228 b,HD 190228,1,1,Radial Velocity,2022,Multiple Observatories,0,12.800,62.7146000
770,HD 190360 b,HD 190360,2,2,Radial Velocity,2003,Haute-Provence Observatory,0,13.400,16.0069000
771,HD 190360 c,HD 190360,2,2,Radial Velocity,2005,W. M. Keck Observatory,0,4.590,16.0069000
772,HD 190647 b,HD 190647,1,1,Radial Velocity,2007,La Silla Observatory,0,13.400,54.4738000
773,HD 190984 b,HD 190984,1,1,Radial Velocity,2009,La Silla Observatory,0,13.100,148.1870000
774,HD 191806 b,HD 191806,1,1,Radial Velocity,2016,Haute-Provence Observatory,0,12.500,65.6668000
775,HD 191939 b,HD 191939,1,6,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,3.410,53.6089000
776,HD 191939 c,HD 191939,1,6,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,3.195,53.6089000
777,HD 191939 d,HD 191939,1,6,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,2.995,53.6089000
778,HD 191939 e,HD 191939,1,6,Radial Velocity,2022,W. M. Keck Observatory,0,13.000,53.6089000
779,HD 191939 f,HD 191939,1,6,Radial Velocity,2022,W. M. Keck Observatory,0,13.400,53.6089000
780,HD 191939 g,HD 191939,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,3.740,53.6089000
781,HD 192263 b,HD 192263,1,1,Radial Velocity,1999,La Silla Observatory,0,14.200,19.6359000
782,HD 192310 b,HD 192310,1,2,Radial Velocity,2011,La Silla Observatory,0,4.270,8.7968700
783,HD 192310 c,HD 192310,1,2,Radial Velocity,2011,La Silla Observatory,0,5.250,8.7968700
784,HD 192699 b,HD 192699,1,1,Radial Velocity,2007,Lick Observatory,0,13.400,71.8627000
785,HD 194490 b,HD 194490,1,1,Radial Velocity,2022,Multiple Observatories,0,12.400,80.2349000
786,HD 195019 b,HD 195019,2,1,Radial Velocity,1998,Lick Observatory,0,13.000,37.6681000
787,HD 196050 b,HD 196050,3,1,Radial Velocity,2002,Anglo-Australian Telescope,0,13.100,50.6742000
788,HD 196067 b,HD 196067,2,1,Radial Velocity,2012,La Silla Observatory,0,12.300,39.9346000
789,HD 19615 b,HD 19615,1,1,Radial Velocity,2022,Bohyunsan Optical Astronomical Observatory,0,12.600,265.1550000
790,HD 196885 A b,HD 196885 A,2,1,Radial Velocity,2007,Haute-Provence Observatory,0,13.200,34.1692000
791,HD 197037 b,HD 197037,2,1,Radial Velocity,2012,McDonald Observatory,0,13.900,33.1944000
792,HD 199509 b,HD 199509,1,1,Radial Velocity,2022,Multiple Observatories,0,7.390,24.3056000
793,HD 19994 b,HD 19994,3,1,Radial Velocity,2003,La Silla Observatory,0,13.600,22.5242000
794,HD 20003 b,HD 20003,1,2,Radial Velocity,2019,La Silla Observatory,0,3.430,41.8316000
795,HD 20003 c,HD 20003,1,2,Radial Velocity,2019,La Silla Observatory,0,3.890,41.8316000
796,HD 200964 b,HD 200964,1,2,Radial Velocity,2010,Lick Observatory,0,13.500,72.5922000
797,HD 200964 c,HD 200964,1,2,Radial Velocity,2010,Lick Observatory,0,13.700,72.5922000
798,HD 202206 c,HD 202206,2,1,Radial Velocity,2004,La Silla Observatory,0,12.200,45.9665000
799,HD 202696 b,HD 202696,1,2,Radial Velocity,2019,W. M. Keck Observatory,0,,188.5460000
800,HD 202696 c,HD 202696,1,2,Radial Velocity,2019,W. M. Keck Observatory,0,,188.5460000
801,HD 202772 A b,HD 202772 A,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,17.318,161.4980000
802,HD 203030 b,HD 203030,1,1,Imaging,2006,Palomar Observatory,0,14.460,39.2503000
803,HD 20329 b,HD 20329,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,1.720,63.6796000
804,HD 203387 b,HD 203387,1,2,Radial Velocity,2022,Multiple Observatories,0,13.100,61.7477000
805,HD 203387 c,HD 203387,1,2,Radial Velocity,2022,Multiple Observatories,0,12.600,61.7477000
806,HD 203473 b,HD 203473,1,1,Radial Velocity,2018,W. M. Keck Observatory,0,12.600,72.6402000
807,HD 2039 b,HD 2039,1,1,Radial Velocity,2002,Anglo-Australian Telescope,0,12.700,85.6922000
808,HD 204313 b,HD 204313,1,3,Radial Velocity,2010,La Silla Observatory,0,12.900,47.7945000
809,HD 204313 c,HD 204313,1,3,Radial Velocity,2015,La Silla Observatory,0,4.320,47.7945000
810,HD 204313 e,HD 204313,1,3,Radial Velocity,2022,Multiple Observatories,0,12.200,47.7945000
811,HD 204941 b,HD 204941,2,1,Radial Velocity,2011,La Silla Observatory,0,10.100,28.7165000
812,HD 205158 b,HD 205158,1,1,Radial Velocity,2022,Multiple Observatories,0,13.800,86.6159000
813,HD 205739 b,HD 205739,1,1,Radial Velocity,2008,Las Campanas Observatory,0,13.600,92.5087000
814,HD 206255 b,HD 206255,1,1,Radial Velocity,2019,Las Campanas Observatory,0,6.470,75.2363000
815,HD 206610 b,HD 206610,1,1,Radial Velocity,2009,W. M. Keck Observatory,0,13.400,147.1920000
816,HD 206893 b,HD 206893,1,2,Imaging,2021,Gemini Observatory,0,14.011,40.7583000
817,HD 206893 c,HD 206893,1,2,Imaging,2022,European Southern Observatory,0,16.365,40.7583000
818,HD 20781 b,HD 20781,2,5,Radial Velocity,2019,La Silla Observatory,0,1.210,35.9715000
819,HD 20781 c,HD 20781,2,5,Radial Velocity,2019,La Silla Observatory,0,2.170,35.9715000
820,HD 20781 d,HD 20781,2,5,Radial Velocity,2019,La Silla Observatory,0,3.250,35.9715000
821,HD 20781 e,HD 20781,2,5,Radial Velocity,2019,La Silla Observatory,0,3.830,35.9715000
822,HD 20782 b,HD 20782,2,5,Radial Velocity,2006,Anglo-Australian Telescope,0,13.600,35.9864000
823,HD 207832 b,HD 207832,3,2,Radial Velocity,2012,W. M. Keck Observatory,0,14.200,58.9291000
824,HD 207832 c,HD 207832,3,2,Radial Velocity,2012,W. M. Keck Observatory,0,14.000,58.9291000
825,HD 207897 b,HD 207897,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,2.501,28.2938000
826,HD 20794 b,HD 20794,1,4,Radial Velocity,2011,La Silla Observatory,0,1.450,6.0027800
827,HD 20794 c,HD 20794,1,4,Radial Velocity,2011,La Silla Observatory,0,1.350,6.0027800
828,HD 20794 d,HD 20794,1,4,Radial Velocity,2011,La Silla Observatory,0,2.040,6.0027800
829,HD 20794 e,HD 20794,1,4,Radial Velocity,2017,La Silla Observatory,0,2.030,6.0027800
830,HD 208487 b,HD 208487,1,1,Radial Velocity,2004,Anglo-Australian Telescope,0,14.200,45.1470000
831,HD 208527 b,HD 208527,1,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,0,12.500,312.2020000
832,HD 20868 b,HD 20868,1,1,Radial Velocity,2008,La Silla Observatory,0,13.700,47.7223000
833,HD 208897 b,HD 208897,1,1,Radial Velocity,2017,Multiple Observatories,0,13.600,67.4872000
834,HD 209458 b,HD 209458,1,1,Radial Velocity,1999,W. M. Keck Observatory,0,15.581,48.3016000
835,HD 210193 b,HD 210193,1,1,Radial Velocity,2019,Las Campanas Observatory,0,14.300,42.2029000
836,HD 210277 b,HD 210277,1,1,Radial Velocity,1998,W. M. Keck Observatory,0,13.600,21.2985000
837,HD 210702 b,HD 210702,1,1,Radial Velocity,2007,Lick Observatory,0,13.400,54.1963000
838,HD 211403 b,HD 211403,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,12.800,83.0919000
839,HD 211810 b,HD 211810,1,1,Radial Velocity,2018,W. M. Keck Observatory,0,14.000,64.6353000
840,HD 211970 b,HD 211970,1,1,Radial Velocity,2019,Las Campanas Observatory,0,3.660,13.1277000
841,HD 212301 b,HD 212301,2,1,Radial Velocity,2005,La Silla Observatory,0,14.200,54.2304000
842,HD 212771 b,HD 212771,1,1,Radial Velocity,2009,W. M. Keck Observatory,0,13.300,111.1550000
843,HD 213240 b,HD 213240,2,1,Radial Velocity,2001,La Silla Observatory,0,12.800,40.8707000
844,HD 213472 b,HD 213472,1,1,Radial Velocity,2021,Multiple Observatories,0,13.100,64.4527000
845,HD 213519 b,HD 213519,1,1,Radial Velocity,2022,Multiple Observatories,0,3.050,41.0014000
846,HD 213885 b,HD 213885,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,1.745,48.0883000
847,HD 213885 c,HD 213885,1,2,Radial Velocity,2019,Multiple Observatories,0,4.710,48.0883000
848,HD 21411 b,HD 21411,1,1,Radial Velocity,2019,Las Campanas Observatory,0,9.520,29.1328000
849,HD 214823 b,HD 214823,2,1,Radial Velocity,2016,Haute-Provence Observatory,0,12.100,101.3680000
850,HD 215152 b,HD 215152,1,4,Radial Velocity,2018,La Silla Observatory,0,1.190,21.5974000
851,HD 215152 c,HD 215152,1,4,Radial Velocity,2018,La Silla Observatory,0,1.170,21.5974000
852,HD 215152 d,HD 215152,1,4,Radial Velocity,2018,La Silla Observatory,0,1.480,21.5974000
853,HD 215152 e,HD 215152,1,4,Radial Velocity,2018,La Silla Observatory,0,1.510,21.5974000
854,HD 215497 b,HD 215497,1,2,Radial Velocity,2009,La Silla Observatory,0,2.400,40.5468000
855,HD 215497 c,HD 215497,1,2,Radial Velocity,2009,La Silla Observatory,0,12.500,40.5468000
856,HD 216435 b,HD 216435,1,1,Radial Velocity,2002,Anglo-Australian Telescope,0,13.700,32.9834000
857,HD 216437 b,HD 216437,1,1,Radial Velocity,2002,Anglo-Australian Telescope,0,13.300,26.6902000
858,HD 216520 b,HD 216520,1,2,Radial Velocity,2020,Multiple Observatories,0,3.180,19.5520000
859,HD 216520 c,HD 216520,1,2,Radial Velocity,2020,Multiple Observatories,0,3.030,19.5520000
860,HD 216536 b,HD 216536,1,1,Radial Velocity,2015,McDonald Observatory,0,13.800,376.2330000
861,HD 216770 b,HD 216770,1,1,Radial Velocity,2003,La Silla Observatory,0,14.100,36.6625000
862,HD 21693 b,HD 21693,1,2,Radial Velocity,2019,La Silla Observatory,0,2.800,33.2550000
863,HD 21693 c,HD 21693,1,2,Radial Velocity,2019,La Silla Observatory,0,4.340,33.2550000
864,HD 217107 b,HD 217107,1,2,Radial Velocity,1998,Lick Observatory,0,13.600,20.0619000
865,HD 217107 c,HD 217107,1,2,Radial Velocity,2005,Lick Observatory,0,13.200,20.0619000
866,HD 21749 c,GJ 143,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,0.892,16.3200000
867,HD 217786 b,HD 217786,2,2,Radial Velocity,2011,La Silla Observatory,0,12.300,55.4847000
868,HD 217786 c,HD 217786,2,2,Radial Velocity,2022,Multiple Observatories,0,2.620,55.4847000
869,HD 217850 b,HD 217850,1,1,Radial Velocity,2018,W. M. Keck Observatory,0,12.100,65.7969000
870,HD 217958 b,HD 217958,1,1,Radial Velocity,2022,Multiple Observatories,0,14.100,61.7957000
871,HD 218566 b,HD 218566,1,1,Radial Velocity,2010,W. M. Keck Observatory,0,9.320,28.8274000
872,HD 219077 b,HD 219077,1,1,Radial Velocity,2012,La Silla Observatory,0,12.500,29.1864000
873,HD 219134 b,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,0,1.602,6.5312700
874,HD 219134 c,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,0,1.511,6.5312700
875,HD 219134 d,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,0,1.610,6.5312700
876,HD 219134 f,HD 219134,1,6,Radial Velocity,2015,Multiple Observatories,1,1.310,6.5312700
877,HD 219134 g,HD 219134,1,6,Radial Velocity,2015,Multiple Observatories,0,3.280,6.5312700
878,HD 219134 h,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,0,12.700,6.5312700
879,HD 219139 b,HD 219139,1,1,Radial Velocity,2021,Okayama Astrophysical Observatory,0,14.000,104.9350000
880,HD 219415 b,HD 219415,1,1,Radial Velocity,2012,McDonald Observatory,0,13.800,165.1840000
